City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klaksvik,62.2266,-6.589,4.51,83,100,6.42,FO,1702336190
1,puerto natales,-51.7236,-72.4875,10.69,59,67,3.56,CL,1702336191
2,adamstown,-25.066,-130.1015,21.7,60,1,1.41,PN,1702336191
3,port-aux-francais,-49.35,70.2167,5.73,98,99,10.77,TF,1702336191
4,boa vista,2.8197,-60.6733,30.99,58,40,2.57,BR,1702336191
5,lamarque,-39.423,-65.7021,30.96,13,52,9.44,AR,1702336191
6,tinajo,29.0788,-13.7081,21.49,28,83,3.6,ES,1702336191
7,ngama,11.7833,17.1667,19.78,22,68,4.46,TD,1702336192
8,rushville,39.6092,-85.4464,1.93,72,2,0.45,US,1702336192
9,kapuskasing,49.4169,-82.4331,-9.14,89,85,2.51,CA,1702336192
10,isafjordur,66.0755,-23.124,-4.58,81,91,1.39,IS,1702336192
11,moose jaw,50.4001,-105.5344,-5.17,39,19,7.45,CA,1702336096
12,grytviken,-54.2811,-36.5092,1.79,79,28,4.91,GS,1702336192
13,longyearbyen,78.2186,15.6401,-7.09,79,75,6.17,SJ,1702336193
14,papatowai,-46.5619,169.4708,10.17,64,54,9.14,NZ,1702335914
15,thunder bay,48.4001,-89.3168,-2.01,73,100,6.7,CA,1702336193
16,grantsville,40.5999,-112.4644,7.16,73,0,2.68,US,1702336193
17,basoko,1.2391,23.616,22.74,92,90,0.6,CD,1702336193
18,blackmans bay,-43.0167,147.3167,20.29,61,26,0.45,AU,1702336194
19,rathenow,52.6066,12.337,7.23,91,98,4.29,DE,1702336194
20,aasiaat,68.7098,-52.8699,-1.0,77,100,5.26,GL,1702336194
21,iqaluit,63.7506,-68.5145,-26.57,94,63,2.58,CA,1702336194
22,tiksi,71.6872,128.8694,-22.07,99,100,3.67,RU,1702336194
23,phillip island,-38.4835,145.231,23.81,86,100,2.99,AU,1702336194
24,waitangi,-43.9535,-176.5597,14.34,90,100,4.47,NZ,1702336195
25,ilulissat,69.2167,-51.1,3.01,60,100,7.72,GL,1702336195
26,ingeniero guillermo n. juarez,-23.9,-61.85,30.29,53,61,2.49,AR,1702336195
27,kogalym,62.2654,74.4791,-30.28,91,100,4.24,RU,1702336195
28,bethel,41.3712,-73.414,4.73,66,100,7.2,US,1702336154
29,hudiksvall,61.729,17.1036,-3.18,93,100,4.02,SE,1702336195
30,seosan,36.7817,126.4522,6.19,71,100,5.79,KR,1702336197
31,dwarka,22.2394,68.9678,22.03,57,96,3.06,IN,1702336197
32,ust'-kulom,61.6864,53.6902,-20.31,84,100,4.81,RU,1702336197
33,beira,-19.8436,34.8389,27.2,89,100,3.63,MZ,1702336197
34,nurmes,63.5421,29.1397,-14.94,96,100,1.79,FI,1702336197
35,port elizabeth,-33.918,25.5701,17.95,88,1,3.58,ZA,1702336198
36,troitsko-pechorsk,62.7084,56.1964,-22.95,89,100,4.92,RU,1702336198
37,lerwick,60.1545,-1.1494,3.0,72,100,3.85,GB,1702336198
38,alaghsas,17.0187,8.0168,19.36,34,0,8.92,NE,1702336198
39,ribeira grande,38.5167,-28.7,13.76,81,6,1.79,PT,1702336198
40,tofol,5.3248,163.0078,28.88,79,75,4.12,FM,1702336198
41,talnakh,69.4865,88.3972,-26.45,98,100,4.67,RU,1702336198
42,quang ngai,15.1167,108.8,21.82,90,93,2.37,VN,1702336199
